Time,Load in lbs,Left right Center of pressure in cm
0.268005788,199.0479332,0.018071236
0.269002719,199.0467856,0.018062568
0.270005233,199.0458267,0.018053483
0.271001877,199.0448833,0.018044054
0.272002559,199.0439106,0.018034524
0.273001805,199.0430507,0.018025004
0.274002803,199.0421702,0.018015908
0.275001364,199.0413149,0.018006924
0.275999132,199.0404384,0.017997867
0.276998624,199.0394706,0.017988881
0.277999604,199.0384407,0.017980017
0.279000944,199.0375305,0.017971305
0.280000415,199.0368286,0.017962378
0.280997409,199.036034,0.017953642
0.281996578,199.0351444,0.017944987
0.283001393,199.0344367,0.017936361
0.283995616,199.0337217,0.017927598
0.284998202,199.0329678,0.017919463
0.285998248,199.0322345,0.017911364
0.286993381,199.0315134,0.017903127
0.287993918,199.0309786,0.017895199
0.289014128,199.0305909,0.017887512
0.29001297,199.0304756,0.017879701
0.290989768,199.0305296,0.017871776
0.291985179,199.0306039,0.017864141
0.292988083,199.0305445,0.017856643
0.293988539,199.0305197,0.017849458
0.294998643,199.0303051,0.017842295
0.296006989,199.0301127,0.017835075
0.297005337,199.0299694,0.017828263
0.298007262,199.0299882,0.017821853
0.299006127,199.0300685,0.01781559
0.300006391,199.0302452,0.017809709
0.301005971,199.0303315,0.017803989
0.302005076,199.0306059,0.017798603
0.30300531,199.0308747,0.017793138
0.304002254,199.031133,0.017787856
0.305002719,199.0315434,0.0177823
0.306001425,199.0319485,0.017776652
0.307002544,199.0323157,0.017771017
0.308000877,199.0326747,0.017765628
0.308999544,199.03298,0.017760268
0.309999242,199.0332964,0.017755248
0.311000195,199.0335641,0.017750502
0.311999068,199.0339204,0.017745831
0.312998878,199.0343809,0.017741481
0.313997944,199.0349456,0.017736895
0.314999476,199.0355062,0.017732836
0.315995936,199.0360119,0.017728925
0.316998082,199.036524,0.01772515
0.317996846,199.0370842,0.017721279
0.318995936,199.0376198,0.017717372
0.319994186,199.0383579,0.017713362
0.320994143,199.0390618,0.017709017
0.32199363,199.0399497,0.017704674
0.323016037,199.0409745,0.017700086
0.323991018,199.0421794,0.017695701
0.3249898,199.0436068,0.017691191
0.325990365,199.0451211,0.017686777
0.326986507,199.0465313,0.017682775
0.327987297,199.0478279,0.017678904
0.329010183,199.0491283,0.017675184
0.330006905,199.0504563,0.017671471
0.331006578,199.0518818,0.017667719
0.332004244,199.0535846,0.017663887
0.33300418,199.0553652,0.017659988
0.334005862,199.0571742,0.017656339
0.335005519,199.058998,0.017652653
0.336004991,199.0609969,0.017649056
0.33700227,199.0631805,0.017645539
0.338004396,199.0653948,0.017641883
0.339003191,199.0676964,0.017638514
0.340002476,199.0701142,0.017635382
0.341018306,199.0726783,0.017632613
0.342001053,199.074985,0.017629692
0.343000791,199.077329,0.017626648
0.344001122,199.0796001,0.017623872
0.344997876,199.0818873,0.0176209
0.346000482,199.0843627,0.017617768
0.347001235,199.0868432,0.017614549
0.347999327,199.0894293,0.017611678
0.348996007,199.0920984,0.017609213
0.349996315,199.0949075,0.017607009
0.350996248,199.0977055,0.017605132
0.351993408,199.1003478,0.017603589
0.352991775,199.1029798,0.017602375
0.353993508,199.1055058,0.017601243
0.354993835,199.1079779,0.017600031
0.355989678,199.110327,0.017598802
0.356988145,199.1125517,0.017597333
0.357988104,199.1147782,0.017596124
0.35898715,199.1171527,0.017594795
0.359986888,199.1194947,0.017593242
0.361012348,199.1215936,0.017592125
0.362011458,199.1237755,0.017591223
0.363009681,199.1259954,0.017590226
0.36399178,199.1281423,0.01758959
